activation,family,variant,gamma,mean_h1,std_h1,mean_neurons,std_neurons,mean_score,std_score
gelu_b0_25,GELU,beta=0.25,0.0,0.20784801351689217,0.01316714255673595,48.8,4.43846820423443,10.102525590664893,0.48587458114122345
gelu_b0_25,GELU,beta=0.25,0.01,0.1968794434897342,0.0022255428302597278,51.2,3.271085446759225,10.076003011367174,0.5678779719522
gelu_b0_25,GELU,beta=0.25,0.1,0.19598381103796952,0.0034278682364979485,55.6,6.9498201415576215,10.907303837104607,1.495152266952987
gelu_b0_25,GELU,beta=0.25,1.0,0.19558135302372193,0.00536735613926517,53.0,3.7416573867739413,10.3716266845061,0.8717914410944608
gelu_b0_25,GELU,beta=0.25,10.0,0.19725325260650295,0.006392292006648123,50.6,3.646916505762094,9.991364769437912,0.9497347434836425
mish_b0_15,Mish,beta=0.15,0.0,0.2088038305899061,0.0149504183295764,47.0,18.587630295441105,9.687758580372432,3.550702861257336
mish_b0_15,Mish,beta=0.15,0.01,0.21145321222343855,0.006662280011252515,44.0,14.300349646075091,9.29816303098067,3.020421604098461
mish_b0_15,Mish,beta=0.15,0.1,0.21099356600331226,0.014773147268060977,42.0,6.59545297913646,8.78951310750568,0.8756212155128021
mish_b0_15,Mish,beta=0.15,1.0,0.20767944112636508,0.021075641946729843,43.2,16.23884232326923,8.836422077602432,3.0048725178310383
mish_b0_15,Mish,beta=0.15,10.0,0.20500660395203213,0.018284496660544786,41.8,14.078352176302452,8.426011848342009,2.40223327765549
relu,ReLU,baseline,0.0,0.30017423256418607,0.18865284615208833,107.8,22.687000683210638,32.38022457348511,21.677193828764505
relu,ReLU,baseline,0.01,0.2242618720231575,0.03992887946147777,126.4,6.730527468185536,28.402642828827812,5.486090802255626
relu,ReLU,baseline,0.1,0.24677733032460955,0.03733307770392496,127.0,10.0,31.309000363699017,5.155507895765295
relu,ReLU,baseline,1.0,0.2395024325578154,0.014313359129333712,121.4,5.770615218501403,29.081684736580247,2.284382879855512
relu,ReLU,baseline,10.0,0.2307304053848324,0.025878567076882856,122.2,10.084641788382966,28.177232078787046,3.7090621269489827
smoothy_relu_w0_25,SmoothReLU,w=0.25,0.0,0.25323975540710436,0.11740666368367722,140.2,1.9235384061671346,35.484005433321,16.35082748113335
smoothy_relu_w0_25,SmoothReLU,w=0.25,0.01,0.18997184216619806,0.14684111511608597,141.2,3.1144823004794873,26.96788603616067,20.98073073047993
smoothy_relu_w0_25,SmoothReLU,w=0.25,0.1,0.33744651440275464,0.09418936905975049,141.2,3.271085446759225,47.7886125275867,14.047334382622624
smoothy_relu_w0_25,SmoothReLU,w=0.25,1.0,0.20079275635869606,0.08621218356704764,141.8,1.6431676725154984,28.56868370440076,12.476242751167337
smoothy_relu_w0_25,SmoothReLU,w=0.25,10.0,0.206335407479678,0.12730760320724135,142.0,3.391164991562634,29.305620765044683,18.090804295179254
softplus_b0_1,Softplus,beta=0.1,0.0,0.21087260841057062,0.008008930574898598,43.4,9.73652915571047,9.110967375733503,1.9093409382102409
softplus_b0_1,Softplus,beta=0.1,0.01,0.20884072401433648,0.006940153266778135,38.8,10.871982339941507,8.087362233020478,2.2200371845047955
softplus_b0_1,Softplus,beta=0.1,0.1,0.20338514392142662,0.004934187827647509,42.0,10.319883720275147,8.522595136937781,2.014995928676598
softplus_b0_1,Softplus,beta=0.1,1.0,0.24135528332794384,0.07142558271948472,30.8,9.984988733093292,6.926457292997638,1.0316413056119453
softplus_b0_1,Softplus,beta=0.1,10.0,0.21029194397942205,0.007575656700419173,39.0,9.617692030835672,8.156427679624596,1.8302882534686369
softplus_b0_15,Softplus,beta=0.15,0.0,0.24969217342248823,0.04186583957609579,32.6,11.216059914247962,7.814407233493229,1.9984978389270938
softplus_b0_15,Softplus,beta=0.15,0.01,0.238685064746544,0.045382160040215905,31.6,10.261578825892242,7.214930871993761,1.6131354694289932
softplus_b0_15,Softplus,beta=0.15,0.1,0.24607619884030366,0.041100259334170004,31.6,10.261578825892242,7.468632803848211,1.69525049797312
softplus_b0_15,Softplus,beta=0.15,1.0,0.23795045853950061,0.04461663653411381,31.6,10.064790112068906,7.225466682560464,1.733919640417023
softplus_b0_15,Softplus,beta=0.15,10.0,0.23302093915858152,0.04787873538534161,32.8,10.709808588392232,7.3081351791442035,1.807464123290188
softplus_b0_25,Softplus,beta=0.25,0.0,0.30312666995321585,0.031041922262497006,27.8,11.903780911962384,8.21410672239187,2.673648084304172
softplus_b0_25,Softplus,beta=0.25,0.01,0.3112790846673117,0.049401078881156024,24.2,2.7748873851023212,7.476521186051644,1.0733376316515886
softplus_b0_25,Softplus,beta=0.25,0.1,0.30921815366119537,0.02801986410271185,23.0,1.5811388300841898,7.093942524418084,0.6070605229270226
softplus_b0_25,Softplus,beta=0.25,1.0,0.2933452778460298,0.02254246203680677,23.0,2.345207879911715,6.71486274469404,0.403113899162131
softplus_b0_25,Softplus,beta=0.25,10.0,0.31047542302702186,0.026084934757588066,23.4,2.302172886644268,7.2229724456460875,0.34732341691305335
softplus_b0_5,Softplus,beta=0.5,0.0,0.25953514635758557,0.0484441721311881,45.8,17.58408371226661,11.26019867018606,2.3250591905678646
softplus_b0_5,Softplus,beta=0.5,0.01,0.23144773389241383,0.02954998289434439,44.8,18.471599822430107,10.00849950838461,3.0581325961160686
softplus_b0_5,Softplus,beta=0.5,0.1,0.2523143516895633,0.04928116749661646,46.6,17.529974329701684,11.143491875560184,2.283154164315662
softplus_b0_5,Softplus,beta=0.5,1.0,0.24366345760053498,0.04017269821456212,45.4,19.449935732541636,10.45777828635154,2.714855962044656
softplus_b0_5,Softplus,beta=0.5,10.0,0.2475762488695314,0.06832480745042088,49.2,18.376615575235828,11.530232034283348,2.967265796365918
