activation	seeds	statuses	rel_h1_mean	rel_h1_sd	rel_grad_mean	rel_grad_sd	neurons_mean	neurons_sd	score_mean	score_sd	hjb_mean_mean	hjb_mean_sd	hjb_max_mean	hjb_max_sd	near_grad_mean	far_grad_mean	C_mean	C_sd	gamma_counts
leaky_relu	5	{'ok': 5}	0.111089334	0.00566714173	0.132774602	0.006807237548	108.4	12.09545369	12.0591874	1.674381843	0.014265141	0.0006646318892	0.291292348	0.02431034971	0.0775744906	0.0210082892	0.532045886	0.02009886605	{'10': 3, '0.01': 1, '0.1': 1}
abs_act	5	{'ok': 5}	0.113136644	0.007568414056	0.1351745	0.009041776512	118.8	6.760177512	13.4598312	1.42851322	0.0153180666	0.0002439968225	0.303344798	0.02323731352	0.0824758494	0.0200867528	0.451614294	0.01276249275	{'0.01': 1, '1': 2, '0.1': 2}
relu	5	{'ok': 5}	0.12219635	0.0129638431	0.146079096	0.01551651638	114.8	7.463243263	13.960571	0.8187451702	0.0145567156	0.000521322252	0.311100244	0.02948929724	0.0871374766	0.0206256936	0.53100476	0.009851053048	{'10': 2, '0': 3}
smoothy_relu_sphere	5	{'ok': 5}	0.21623765	0.00321964391	0.23494309	0.003034803108	114.6	6.542170894	24.7642776	1.049108186	0.0351738526	0.0008886191078	0.304036576	0.007487741532	0.146890756	0.0375101634	0.356166294	0.0346583891	{'0.01': 1, '0.1': 2, '1': 1, '0': 1}
leaky_relu2_a0_0375_sphere	5	{'ok': 5}	0.326375722	0.01469035469	0.38729871	0.01706258142	110.2	7.120393248	35.9455314	2.47520319	0.0715809438	0.005235362572	0.326606778	0.004054987731	0.215795864	0.0659987714	1.25690476	0.1688415254	{'1': 2, '0.01': 2, '0.1': 1}
relu2	5	{'ok': 5}	0.327643254	0.02077398118	0.388777158	0.02415058278	115.2	9.418067742	37.6597916	2.806293904	0.0717196506	0.007261251019	0.32621015	0.005665660941	0.216277534	0.0662299148	1.24660804	0.235262771	{'0.1': 1, '10': 4}
leaky_relu2_a0_02_sphere	5	{'ok': 5}	0.329175772	0.01198839962	0.390512032	0.01390448338	114	9.192388155	37.4603572	2.243567973	0.072796703	0.004587638423	0.3256628	0.003304334833	0.217308196	0.0671877358	1.21444992	0.1388050764	{'0.01': 1, '0.1': 1, '0': 3}
leaky_relu2_a0_025_sphere	5	{'ok': 5}	0.330237896	0.01471425365	0.391785386	0.01704167784	107.2	6.418722614	35.41742	2.893445241	0.0729977664	0.005553309826	0.325606962	0.004332096598	0.217726694	0.067779888	1.212100056	0.1809114802	{'0.01': 1, '0': 1, '10': 3}
leaky_relu2_a0_015_sphere	5	{'ok': 5}	0.330858754	0.007328355018	0.392482508	0.008517961087	110.4	8.590692638	36.5375558	3.088073577	0.0735372444	0.002634251308	0.325335782	0.001993556941	0.21813034	0.0680753586	1.1946351	0.08573802704	{'10': 2, '0.1': 1, '1': 1, '0': 1}
smooth_relu_4	4	{'ok': 4}	3.9038674	0.1518848124	3.99705195	0.1562459851	0	0	3.9038674	0.1518848124	2.5523012	0.4286352261	21.52481525	5.822568728	1.48372785	1.568287675	1.405100775	0.00782777537	{'0': 4}
softplus_b2	3	{'ok': 3}	3.9240885	0.2251084066	4.023631467	0.2340897134	0	0	3.9240885	0.2251084066	2.616573833	0.6335143756	22.50036667	7.98715841	1.494865733	1.573128367	1.3997818	0.002028577906	{'0': 3}
smooth_relu_1	4	{'ok': 4}	3.980368325	0.1076022941	4.079859725	0.1092276346	0	0	3.980368325	0.1076022941	2.77753175	0.2999562113	24.50914975	3.514272442	1.5028424	1.585727775	1.40162535	0.004575463159	{'0': 4}
softplus	5	{'ok': 5}	4.01615476	0.1135433384	4.12027922	0.1185768537	0	0	4.01615476	0.1135433384	2.87974894	0.3268234675	25.8817746	3.972661599	1.51735398	1.594935	1.3986106	0	{'0': 5}
softplus_b1	5	{'ok': 5}	4.01615476	0.1135433384	4.12027922	0.1185768537	0	0	4.01615476	0.1135433384	2.87974894	0.3268234675	25.8817746	3.972661599	1.51735398	1.594935	1.3986106	0	{'0': 5}
quartic	5	{'ok': 5}	4.06421438	0.09765972654	4.16991386	0.1012380218	0	0	4.06421438	0.09765972654	3.02234342	0.2873621632	27.4453356	3.916579119	1.52708758	1.607703	1.3986106	0	{'0': 5}
logcosh	5	{'ok': 5}	4.0667525	0.06751386873	4.17293578	0.07116579777	0	0	4.0667525	0.06751386873	3.02566276	0.1898229299	27.9467646	2.043061228	1.5311901	1.60817032	1.3986106	0	{'0': 5}
softplus_b0_25	5	{'ok': 5}	4.07057916	0.08368157141	4.17602804	0.08668512154	0	0	4.07057916	0.08368157141	3.04468052	0.2481564299	27.9232048	2.908582363	1.52543298	1.6094876	1.3986106	0	{'0': 5}
elu	4	{'ok': 4}	4.070953375	0.11923985	4.177879	0.1247926	0	0	4.070953375	0.11923985	3.03360895	0.3423251	26.99940125	5.8196915	1.539136975	1.6088213	1.398749975	0.00027875	{'0': 4}
celu	4	{'ok': 4}	4.070953375	0.11923985	4.177879	0.1247926	0	0	4.070953375	0.11923985	3.03360895	0.3423251	26.99940125	5.8196915	1.539136975	1.6088213	1.398749975	0.00027875	{'0': 4}
bent_id	4	{'ok': 4}	4.134875425	0.0618248919	4.2378269	0.05822201562	0	0	4.134875425	0.0618248919	3.228292075	0.1806451224	29.9634405	1.882627115	1.543537425	1.6270558	1.4035059	0.0097906	{'0': 4}
